US_L4CODE;US_L4NAME;US_L3CODE;US_L3NAME;NA_L3CODE;NA_L3NAME;NA_L2CODE;NA_L2NAME;NA_L1CODE;NA_L1NAME;L4_KEY;L3_KEY;L2_KEY;L1_KEY
10a;Channeled Scablands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10a  Channeled Scablands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
10b;Loess Islands;10;Columbia Plateau;10.1.2;Columbia Plateau;10.1;COLD DESERTS;10;NORTH AMERICAN DESERTS;10b  Loess Islands;10  Columbia Plateau;10.1  COLD DESERTS;10  NORTH AMERICAN DESERTS
