fia_code;common_name;plants_code;trait;value
11;Pacific silver fir;ABAM;Active Growth Period;Spring and Summer
11;Pacific silver fir;ABAM;Bloat;None
11;Pacific silver fir;ABAM;C:N Ratio;High
11;Pacific silver fir;ABAM;Coppice Potential;No
11;Pacific silver fir;ABAM;Fall Conspicuous;Yes
11;Pacific silver fir;ABAM;Fire Resistant;No
11;Pacific silver fir;ABAM;Flower Color;Yellow
11;Pacific silver fir;ABAM;Flower Conspicuous;No
11;Pacific silver fir;ABAM;Foliage Color;Gray-Green
11;Pacific silver fir;ABAM;Foliage Porosity Summer;Dense
11;Pacific silver fir;ABAM;Foliage Porosity Winter;Dense
11;Pacific silver fir;ABAM;Foliage Texture;Medium
11;Pacific silver fir;ABAM;Fruit/Seed Color;Brown
11;Pacific silver fir;ABAM;Fruit/Seed Conspicuous;No
11;Pacific silver fir;ABAM;Growth Form;Single Stem
11;Pacific silver fir;ABAM;Growth Rate;Slow
11;Pacific silver fir;ABAM;Height at 20 Years, Maximum (feet);20
11;Pacific silver fir;ABAM;Height, Mature (feet);165.0
11;Pacific silver fir;ABAM;Known Allelopath;No
11;Pacific silver fir;ABAM;Leaf Retention;Yes
11;Pacific silver fir;ABAM;Lifespan;Long
11;Pacific silver fir;ABAM;Low Growing Grass;No
11;Pacific silver fir;ABAM;Nitrogen Fixation;None
11;Pacific silver fir;ABAM;Resprout Ability;No
11;Pacific silver fir;ABAM;Shape and Orientation;Erect
11;Pacific silver fir;ABAM;Toxicity;None
11;Pacific silver fir;ABAM;Adapted to Coarse Textured Soils;Yes
11;Pacific silver fir;ABAM;Adapted to Fine Textured Soils;Yes
11;Pacific silver fir;ABAM;Adapted to Medium Textured Soils;Yes
11;Pacific silver fir;ABAM;Anaerobic Tolerance;None
11;Pacific silver fir;ABAM;CaCO3 Tolerance;Low
11;Pacific silver fir;ABAM;Cold Stratification Required;Yes
11;Pacific silver fir;ABAM;Drought Tolerance;Low
11;Pacific silver fir;ABAM;Fertility Requirement;Low
11;Pacific silver fir;ABAM;Fire Tolerance;None
11;Pacific silver fir;ABAM;Frost Free Days, Minimum;90
11;Pacific silver fir;ABAM;Hedge Tolerance;None
11;Pacific silver fir;ABAM;Moisture Use;Medium
11;Pacific silver fir;ABAM;pH, Maximum;6.0
11;Pacific silver fir;ABAM;pH, Minimum;3.3
11;Pacific silver fir;ABAM;Planting Density per Acre, Maximum;700
11;Pacific silver fir;ABAM;Planting Density per Acre, Minimum;300
11;Pacific silver fir;ABAM;Precipitation, Maximum;260
11;Pacific silver fir;ABAM;Precipitation, Minimum;38
11;Pacific silver fir;ABAM;Root Depth, Minimum (inches);36
11;Pacific silver fir;ABAM;Salinity Tolerance;None
11;Pacific silver fir;ABAM;Shade Tolerance;Tolerant
11;Pacific silver fir;ABAM;Temperature, Minimum (°F);-28
11;Pacific silver fir;ABAM;Bloom Period;Late Spring
11;Pacific silver fir;ABAM;Commercial Availability;Routinely Available
11;Pacific silver fir;ABAM;Fruit/Seed Abundance;Low
11;Pacific silver fir;ABAM;Fruit/Seed Period Begin;Summer
11;Pacific silver fir;ABAM;Fruit/Seed Period End;Fall
11;Pacific silver fir;ABAM;Fruit/Seed Persistence;No
11;Pacific silver fir;ABAM;Propagated by Bare Root;Yes
11;Pacific silver fir;ABAM;Propagated by Bulb;No
11;Pacific silver fir;ABAM;Propagated by Container;Yes
11;Pacific silver fir;ABAM;Propagated by Corm;No
11;Pacific silver fir;ABAM;Propagated by Cuttings;No
11;Pacific silver fir;ABAM;Propagated by Seed;Yes
11;Pacific silver fir;ABAM;Propagated by Sod;No
11;Pacific silver fir;ABAM;Propagated by Sprigs;No
11;Pacific silver fir;ABAM;Propagated by Tubers;No
11;Pacific silver fir;ABAM;Seed per Pound;11280
11;Pacific silver fir;ABAM;Seed Spread Rate;Slow
11;Pacific silver fir;ABAM;Seedling Vigor;Low
11;Pacific silver fir;ABAM;Small Grain;No
11;Pacific silver fir;ABAM;Vegetative Spread Rate;None
11;Pacific silver fir;ABAM;Berry/Nut/Seed Product;No
11;Pacific silver fir;ABAM;Christmas Tree Product;Yes
11;Pacific silver fir;ABAM;Fodder Product;No
11;Pacific silver fir;ABAM;Fuelwood Product;Low
11;Pacific silver fir;ABAM;Lumber Product;Yes
11;Pacific silver fir;ABAM;Naval Store Product;No
11;Pacific silver fir;ABAM;Nursery Stock Product;No
11;Pacific silver fir;ABAM;Palatable Browse Animal;Low
11;Pacific silver fir;ABAM;Palatable Human;No
11;Pacific silver fir;ABAM;Post Product;No
11;Pacific silver fir;ABAM;Pulpwood Product;Yes
11;Pacific silver fir;ABAM;Veneer Product;Yes
12;balsam fir;ABBA;Active Growth Period;Spring and Summer
12;balsam fir;ABBA;Bloat;None
12;balsam fir;ABBA;C:N Ratio;High
12;balsam fir;ABBA;Coppice Potential;No
12;balsam fir;ABBA;Fall Conspicuous;No
12;balsam fir;ABBA;Fire Resistant;No
12;balsam fir;ABBA;Flower Color;Yellow
12;balsam fir;ABBA;Flower Conspicuous;No
12;balsam fir;ABBA;Foliage Color;Green
12;balsam fir;ABBA;Foliage Porosity Summer;Dense
12;balsam fir;ABBA;Foliage Porosity Winter;Dense
12;balsam fir;ABBA;Foliage Texture;Medium
12;balsam fir;ABBA;Fruit/Seed Color;Brown
12;balsam fir;ABBA;Fruit/Seed Conspicuous;No
12;balsam fir;ABBA;Growth Form;Single Stem
12;balsam fir;ABBA;Growth Rate;Slow
12;balsam fir;ABBA;Height at 20 Years, Maximum (feet);18
12;balsam fir;ABBA;Height, Mature (feet);60.0
12;balsam fir;ABBA;Known Allelopath;No
12;balsam fir;ABBA;Leaf Retention;Yes
12;balsam fir;ABBA;Lifespan;Short
12;balsam fir;ABBA;Low Growing Grass;No
12;balsam fir;ABBA;Nitrogen Fixation;None
12;balsam fir;ABBA;Resprout Ability;No
12;balsam fir;ABBA;Shape and Orientation;Conical
12;balsam fir;ABBA;Toxicity;None
12;balsam fir;ABBA;Adapted to Coarse Textured Soils;Yes
12;balsam fir;ABBA;Adapted to Fine Textured Soils;Yes
12;balsam fir;ABBA;Adapted to Medium Textured Soils;Yes
12;balsam fir;ABBA;Anaerobic Tolerance;None
12;balsam fir;ABBA;CaCO3 Tolerance;Low
12;balsam fir;ABBA;Cold Stratification Required;Yes
12;balsam fir;ABBA;Drought Tolerance;Low
12;balsam fir;ABBA;Fertility Requirement;Medium
12;balsam fir;ABBA;Fire Tolerance;Low
12;balsam fir;ABBA;Frost Free Days, Minimum;80
12;balsam fir;ABBA;Hedge Tolerance;Low
12;balsam fir;ABBA;Moisture Use;Medium
12;balsam fir;ABBA;pH, Maximum;6.0
12;balsam fir;ABBA;pH, Minimum;4.0
12;balsam fir;ABBA;Planting Density per Acre, Maximum;1200
12;balsam fir;ABBA;Planting Density per Acre, Minimum;300
12;balsam fir;ABBA;Precipitation, Maximum;60
12;balsam fir;ABBA;Precipitation, Minimum;13
12;balsam fir;ABBA;Root Depth, Minimum (inches);20
12;balsam fir;ABBA;Salinity Tolerance;None
12;balsam fir;ABBA;Shade Tolerance;Tolerant
12;balsam fir;ABBA;Temperature, Minimum (°F);-43
12;balsam fir;ABBA;Bloom Period;Mid Summer
12;balsam fir;ABBA;Commercial Availability;Routinely Available
12;balsam fir;ABBA;Fruit/Seed Abundance;Medium
12;balsam fir;ABBA;Fruit/Seed Period Begin;Fall
12;balsam fir;ABBA;Fruit/Seed Period End;Fall
12;balsam fir;ABBA;Fruit/Seed Persistence;No
12;balsam fir;ABBA;Propagated by Bare Root;Yes
12;balsam fir;ABBA;Propagated by Bulb;No
12;balsam fir;ABBA;Propagated by Container;Yes
12;balsam fir;ABBA;Propagated by Corm;No
12;balsam fir;ABBA;Propagated by Cuttings;No
12;balsam fir;ABBA;Propagated by Seed;Yes
12;balsam fir;ABBA;Propagated by Sod;No
12;balsam fir;ABBA;Propagated by Sprigs;No
12;balsam fir;ABBA;Propagated by Tubers;No
12;balsam fir;ABBA;Seed per Pound;59840
12;balsam fir;ABBA;Seed Spread Rate;Slow
12;balsam fir;ABBA;Seedling Vigor;Low
12;balsam fir;ABBA;Small Grain;No
